"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001400","GISAHAUS","PUBLISHED","2002","WPR","AUS","SA_TOTAL","9.84","9.84000","","",""
"SA_0000001400","GISAHOMN","PUBLISHED","2005","EMR","OMN","SA_WINE","0.01","0.01000","","",""
"SA_0000001400","GISAHDOM","PUBLISHED","2011","AMR","DOM","SA_OTHER_ALCOHOL","0.07","0.07000","","",""
"SA_0000001400","GISAHAZE","PUBLISHED","2006","EUR","AZE","SA_SPIRITS","0.47","0.47000","","",""
"SA_0000001400","GISAHCAF","PUBLISHED","2005","AFR","CAF","SA_OTHER_ALCOHOL","1.23","1.23000","","",""
"SA_0000001400","GISAHSRB","PUBLISHED","2007","EUR","SRB","SA_WINE","3.38","3.38000","","",""
"SA_0000001400","GISAHTZA","PUBLISHED","2001","AFR","TZA","SA_SPIRITS","0.09","0.09000","","",""
"SA_0000001400","GISAHDEU","PUBLISHED","2009","EUR","DEU","SA_WINE","3.01","3.01000","","",""
"SA_0000001400","GISAHAZE","PUBLISHED","2011","EUR","AZE","SA_BEER","0.16","0.16000","","",""
"SA_0000001400","GISAHCAF","PUBLISHED","2000","AFR","CAF","SA_TOTAL","1.51","1.51000","","",""
"SA_0000001400","GISAHJPN","PUBLISHED","2004","WPR","JPN","SA_TOTAL","7.70","7.70000","","",""
"SA_0000001400","GISAHGTM","PUBLISHED","2011","AMR","GTM","SA_BEER","0.91","0.91000","","",""
"SA_0000001400","GISAHPAN","PUBLISHED","2001","AMR","PAN","SA_SPIRITS","1.93","1.93000","","",""
"SA_0000001400","GISAHPER","PUBLISHED","2006","AMR","PER","SA_SPIRITS","1.73","1.73000","","",""
"SA_0000001400","GISAHMNE","PUBLISHED","2008","EUR","MNE","SA_WINE","2.93","2.93000","","",""
"SA_0000001400","GISAHMDV","PUBLISHED","2007","SEAR","MDV","SA_SPIRITS","0.85","0.85000","","",""
"SA_0000001400","GISAHNPL","PUBLISHED","2013","SEAR","NPL","SA_BEER","0.15","0.15000","","",""
"SA_0000001400","GISAHKHM","PUBLISHED","2007","WPR","KHM","SA_WINE","0.02","0.02000","","",""
"SA_0000001400","GISAHMKD","PUBLISHED","2000","EUR","MKD","SA_SPIRITS","1.65","1.65000","","",""
"SA_0000001400","GISAHHRV","PUBLISHED","2004","EUR","HRV","SA_SPIRITS","1.31","1.31000","","",""
"SA_0000001400","GISAHPNG","PUBLISHED","2011","WPR","PNG","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHGEO","PUBLISHED","2005","EUR","GEO","SA_WINE","2.01","2.01000","","",""
"SA_0000001400","GISAHTLS","PUBLISHED","2004","SEAR","TLS","SA_BEER","0.35","0.35000","","",""
"SA_0000001400","GISAHISR","PUBLISHED","2006","EUR","ISR","SA_OTHER_ALCOHOL","0.05","0.05000","","",""
"SA_0000001400","GISAHTHA","PUBLISHED","2007","SEAR","THA","SA_TOTAL","6.20","6.20000","","",""
"SA_0000001400","GISAHPNG","PUBLISHED","2006","WPR","PNG","SA_TOTAL","0.64","0.64000","","",""
