"Indicator","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Malaysia","Beer","76.2","76.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Australia","Wine","36.7","36.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Vanuatu","Beer","40.5","40.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Mongolia","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Mozambique","Beer","63.0","63.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Viet Nam","Wine","0.6","0.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Comoros","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Saint Lucia","Other alcoholic beverages","1.5","1.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Saudi Arabia","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Ecuador","Beer","67.3","67.30000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Lithuania","Spirits","34.1","34.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Germany","Beer","53.6","53.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Japan","Beer","19.2","19.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Algeria","Beer","62.6","62.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Zambia","Spirits","13.6","13.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Other alcoholic beverages","0.2","0.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Eastern Mediterranean","Morocco","Spirits","19.9","19.90000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Eritrea","Spirits","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Monaco","Beer","No data","","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Sri Lanka","Wine","0.1","0.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Albania","Spirits","48.4","48.40000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Comoros","Wine","22.2","22.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Georgia","Spirits","33.2","33.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Myanmar","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Chad","Other alcoholic beverages","26.5","26.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Poland","Spirits","35.5","35.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","South-East Asia","Nepal","Beer","47.7","47.70000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Spain","Other alcoholic beverages","1.8","1.80000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Luxembourg","Other alcoholic beverages","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Botswana","Spirits","11.5","11.50000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Ethiopia","Wine","0.6","0.60000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Equatorial Guinea","Spirits","0.0","0.00000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Africa","Namibia","Other alcoholic beverages","2.1","2.10000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Europe","Iceland","Wine","21.2","21.20000","","",""
"Alcohol, consumption of pure alcohol by type of beverage (%)","Published","2010","Western Pacific","Republic of Korea","Wine","1.6","1.60000","","",""
